job_title,company_name,jobe_type
Graphic Designer,dnf -,Full Time
Graphic Designer,Power Solutions -,Freelance / Project
Social Media Graphic Designer,Shatta -,Full Time
Graphic Designer,ADDesigner -,Full Time
Graphic Designer,EYouth -,Full Time
Graphic Designer,sanam holding -,Full Time
Senior Graphic Designer Specialist,Al Ahly Momkn for e-payment -,Full Time
Motion Graphics Designer,Resource options  -,Full Time
Graphic Designer,Etisal EG -,Full Time
Graphic Designer,Ultimate Solutions Egypt -,Full Time
Graphic Designer,Myco Arabia -,Full Time
E-learning Motion Graphics Designer,Avanguard -,Full Time
Graphic Designer,Aman  -,Full Time
Graphic Designer,World Sky Aviation  -,Full Time
Graphic Designer,Selah ElTelmeez For Publishing & printing -,Full Time
